id,ratio_TSS_0,ratio_TSS_1
ENST00000412713.1,0.8003992015968063,0.5388162951575711
ENST00000620368.1,0.6317727511835876,0.6786861835058907
ENST00000430524.6,0.8572448251249107,1.0344708721130644
ENST00000439169.2,,
ENST00000252136.12,,
ENST00000404751.7,,
ENST00000403707.7,,
ENST00000402752.5,,
ENST00000331821.7,3300.9999999999995,3001.0
ENST00000578179.1,0.572631841002448,0.5702367911013736
ENST00000334554.12,,
ENST00000320602.11,301.0,301.0
ENST00000405930.3,301.0,301.0
ENST00000439765.4,,
ENST00000506039.1,,
ENST00000609602.1,,0.6007984031936128
ENST00000408112.3,,
ENST00000043402.8,,
ENST00000438948.1,,
ENST00000608275.1,1.0,1.039984006397441
ENST00000405465.3,7.930693069306931,500.99999999999994
ENST00000248879.8,601.0,400.99999999999994
ENST00000609632.1,,
ENST00000617303.4,,
ENST00000583722.5,,
ENST00000610338.1,,
ENST00000458154.1,,
ENST00000667786.1,,
ENST00000292729.12,,
ENST00000611540.4,,
ENST00000403682.7,,
ENST00000400451.7,301.0,
ENST00000357502.5,400.99999999999994,
ENST00000405993.2,0.750156152404747,0.6672212978369384
ENST00000384613.1,,
ENST00000622235.5,,
ENST00000623402.1,,
ENST00000429594.1,2.32890365448505,1.2496878901373283
ENST00000426448.1,,1.3327787021630615
ENST00000532431.1,1.0,1.0
ENST00000365046.1,1.0,1.1996007984031936
ENST00000493791.3,1.0,1.1663893510815309
ENST00000436075.1,0.6672212978369384,1.0
ENST00000328879.9,,
ENST00000292733.11,601.0,7.930693069306931
ENST00000263205.11,1201.0,4.4825870646766175
ENST00000406969.5,1301.0,2.2468827930174564
ENST00000382974.6,2001.0000000000002,2.9950124688279303
ENST00000420225.1,0.9565406345067362,0.9286224125624554
ENST00000508880.1,,
ENST00000416717.6,,
ENST00000614590.1,,
ENST00000447821.1,,
ENST00000443839.1,,
ENST00000411545.2,,
ENST00000427789.3,,
ENST00000514371.1,,
ENST00000450925.6,,
ENST00000637163.1,1.0,
ENST00000452055.5,,
ENST00000419950.5,,
ENST00000215727.10,1.4115226337448559,1.2997002997002998
ENST00000406799.1,1.0,0.9286224125624554
ENST00000255882.11,,
ENST00000215730.12,,601.0
ENST00000608856.1,301.0,500.99999999999994
ENST00000354336.8,701.0,601.0
ENST00000444039.1,,
ENST00000399167.6,,
ENST00000399163.6,,
ENST00000434714.6,,
ENST00000683034.1,,
ENST00000440238.4,,
ENST00000405089.5,,
ENST00000479606.5,,
ENST00000610278.1,,
ENST00000646124.2,400.99999999999994,400.99999999999994
ENST00000436079.1,0.7146932952924394,
ENST00000215742.9,400.99999999999994,
ENST00000399133.2,,
ENST00000452284.1,,
ENST00000442739.1,2.98019801980198,
ENST00000640124.1,2.492537313432836,
ENST00000292748.7,400.99999999999994,
ENST00000413302.6,,
ENST00000401443.5,1.0,
ENST00000450652.2,,
ENST00000403586.5,,
ENST00000382932.3,,
ENST00000384843.1,,
ENST00000439119.5,,
ENST00000450626.1,,
ENST00000442047.2,,
ENST00000410028.3,,
ENST00000641915.1,,
ENST00000461808.5,,
ENST00000447763.1,,
ENST00000398241.3,,
ENST00000420508.1,,
ENST00000329949.3,,
ENST00000420708.1,,
ENST00000451257.5,,
ENST00000415376.5,301.0,
ENST00000415704.5,301.0,
ENST00000421576.5,2.98019801980198,
ENST00000424410.1,,
ENST00000417463.1,,
ENST00000639755.1,,
ENST00000639507.1,,
ENST00000405188.8,,
ENST00000401924.5,,
ENST00000637734.1,,
ENST00000441743.1,,
